DMA,GOOGLE_PLACE_ID,STORE_NAME,GOOGLE_MAPS_URL,STORE_LATITUDE,STORE_LONGITUDE,STATE_ID,STORE_TYPE,AREA_DEMOGRAPHIC,GOOGLE_PLACE_RATING,GOOGLE_PLACE_RATING_COUNT,Last activity date
NEW YORK,ChIJV-F8egClw4kRNe-Ya88vsbs,Rholeda's Dessert Emporium,https://maps.google.com/?cid=13524643723880230709,40.7557534,-74.4145936,NJ,foodservice,predominantly white,5,13,
NEW YORK,ChIJV-VqjKj4wokRrZVaTNtfsKU,Appetizzio's Italian deli,https://maps.google.com/?cid=11939148007642666413,40.815942,-74.1135884,NJ,grocery,majority white,4.8,97,
NEW YORK,Ei0yMDMgTGluY29sbiBBdmUgIzIwMywgRHVuZWxsZW4sIE5KIDA4ODEyLCBVU0EiHxodChYKFAoSCQOIoRIbucOJEflZpzrXiA5tEgMyMDM,203 Lincoln Ave,,40.591248,-74.46647,NJ,,mixed white/hispanic,,,"Thursday, October 23, 2025"
NEW YORK,Ei4xNTYgR2F0em1lciBBdmUgIzE1NiwgSmFtZXNidXJnLCBOSiAwODgzMSwgVVNBIh8aHQoWChQKEglFQkPU8NrDiREO2LLwd3KEORIDMTU2,156 Gatzmer Ave,"https://maps.google.com/?q=156+Gatzmer+Ave+%23156,+Jamesburg,+NJ+08831,+USA&ftid=0x89c3daf0d4434245:0xf6ce10ab699f95f",40.347622,-74.438156,NJ,other,predominantly white,,,
PHILADELPHIA,ChIJc38pRTrFwIkRueOskTTg5E4,Pantry 1 Food Mart,https://maps.google.com/?cid=5684915146035356601,39.448925,-74.74909,NJ,convenience,majority white,3.7,66,
NEW YORK,ChIJLda68iL_wokRCqY-ngIZCbA,Delta Gas,https://maps.google.com/?cid=12684697324501247498,40.8491308,-74.1459638,NJ,gas,predominantly hispanic,4.1,22,
NEW YORK,ChIJhxNeBAADw4kR_BoVz3CLGao,Sunoco,https://maps.google.com/?cid=12256981177492380412,40.9124921,-74.2423652,NJ,gas,predominantly white,3.7,37,
NEW YORK,ChIJi0d601hXwokRGx4kl4knptA,Daniel's Wine and Liquor,https://maps.google.com/?cid=15034747877922709019,40.737311,-74.032709,NJ,liquor,majority white,4.3,57,"Sunday, October 12, 2025"
NEW YORK,ChIJi43u9gYuwokRc6KcEMyGhpI,bp,https://maps.google.com/?cid=10558274587426857587,40.330565,-74.1211198,NJ,gas,predominantly white,2,22,
NEW YORK,ChIJi6ESyhD6wokRExA0m4tXk7o,Trans Oil Ent Inc,https://maps.google.com/?cid=13444185569747013651,40.8937881,-74.0473546,NJ,gas,mixed white/hispanic,4.4,5,
NEW YORK,ChIJi7vvWXTKw4kRS7rAfrhng6Q,super 99 cent & up,https://maps.google.com/?cid=11854432686267480651,40.517144,-74.2866352,NJ,convenience,predominantly hispanic,3.7,20,
NEW YORK,ChIJV2fSCnclwokR2MOid6G-hZ8,7-Eleven,https://maps.google.com/?cid=11494803224639226840,40.2862467,-74.016838,NJ,convenience,predominantly white,2.9,20,
